State Name,year,population,PR,at_risk,IR,AF,AC_
Illinois,2011,3092412,7.36,2864824.6754879323,9.05,26.22% (11.91-33.94%),6798 (3086-8797)
Illinois,2012,3059371,9.32,2774236.91834518,9.47,26.19% (11.86-33.95%),6883 (3115-8922)
Illinois,2013,3024759,7.36,2802150.6256618467,8.37,25.08% (11.29-32.63%),5883 (2647-7653)
Illinois,2014,2992357,8.33,2743172.817599467,9.75,23.87% (10.70-31.12%),6383 (2861-8322)
Illinois,2015,2961889,7.40,2742848.491688858,8.17,21.34% (9.47-27.99%),4783 (2123-6273)
Illinois,2016,2929827,7.32,2715252.797941651,8.95,13.38% (6.07-17.31%),3252 (1475-4206)
Illinois,2017,2895982,5.70,2730942.121466708,8.00,12.12% (5.43-15.79%),2650 (1187-3452)
Illinois,2018,2855050,6.00,2683609.782037565,8.12,13.45% (6.10-17.38%),2929 (1329-3786)
Illinois,2019,2817875,6.90,2623502.601005944,6.19,12.95% (5.85-16.79%),2103 (950-2726)
Indiana,2010,1606162,8.88,1463478.5439221445,11.75,16.52% (7.10-22.09%),2841 (1221-3799)
Indiana,2011,1598429,7.96,1471230.788522767,13.04,15.36% (6.57-20.59%),2947 (1261-3951)
Indiana,2012,1589767,7.96,1463258.0846427798,8.96,15.38% (6.58-20.64%),2017 (862-2705)
Indiana,2013,1586023,7.96,1459705.205390627,12.58,15.43% (6.61-20.67%),2833 (1214-3796)
Indiana,2014,1582047,7.95,1456258.967040213,12.61,15.51% (6.69-20.69%),2848 (1230-3800)
Indiana,2015,1578188,7.50,1459844.8204058069,17.03,14.76% (6.35-19.73%),3670 (1580-4904)
Indiana,2016,1575894,8.18,1446936.3783621436,3.51,6.31% (2.75-8.36%),320 (140-424)
Indiana,2017,1572900,6.87,1464824.3450585108,3.46,6.20% (2.71-8.20%),314 (137-416)
Indiana,2018,1570622,8.69,1434187.841811387,3.54,6.67% (2.93-8.79%),338 (149-446)
Indiana,2019,1567974,6.71,1462829.022350403,11.75,5.90% (2.56-7.83%),1014 (441-1346)
Iowa,2010,728224,9.06,662261.5762269343,10.51,12.31% (5.20-16.63%),857 (362-1157)
Iowa,2011,726285,8.88,661765.4176974259,9.05,12.34% (5.21-16.67%),739 (312-998)
Iowa,2012,724758,8.98,659668.6247118171,9.47,13.24% (5.61-17.86%),827 (350-1116)
Iowa,2013,726370,9.24,659245.0450869015,8.37,12.47% (5.28-16.83%),688 (291-929)
Iowa,2014,728706,9.17,661853.7964672227,9.75,11.44% (4.83-15.47%),738 (312-998)
Iowa,2015,729839,8.41,668458.4084216758,8.17,10.33% (4.35-14.00%),564 (237-764)
Iowa,2016,730843,8.03,672120.8679325779,8.95,3.22% (1.37-4.34%),194 (82-261)
Iowa,2017,731611,7.71,675183.4297117598,8.00,2.72% (1.15-3.68%),147 (62-199)
Iowa,2018,729325,7.35,675741.8001329836,8.12,2.70% (1.14-3.66%),148 (63-201)
Iowa,2019,726841,7.32,673638.0877269485,6.19,1.99% (0.84-2.70%),83 (35-112)
Kansas,2010,727489,7.53,672721.3461453595,6.91,13.61% (5.79-18.32%),633 (269-852)
Kansas,2011,726557,8.83,662383.4212740802,6.69,15.08% (6.44-20.24%),668 (285-897)
Kansas,2012,726376,10.42,650712.193555362,4.85,14.19% (6.04-19.09%),447 (190-602)
Kansas,2013,724239,9.26,657168.0249773912,6.80,13.53% (5.75-18.22%),605 (257-814)
Kansas,2014,722347,8.37,661852.213816173,11.69,12.36% (5.23-16.68%),956 (405-1290)
Kansas,2015,720680,8.83,657025.5107910379,11.77,11.69% (4.94-15.80%),904 (382-1222)
Kansas,2016,716900,8.92,652945.2120715261,8.58,3.65% (1.55-4.91%),204 (87-275)
Kansas,2017,711857,9.38,645096.9819304468,5.38,3.64% (1.55-4.90%),126 (54-170)
Kansas,2018,705496,7.62,651740.5845366446,5.32,3.66% (1.55-4.93%),127 (54-171)
Kansas,2019,700250,8.68,639494.6438729354,6.80,3.05% (1.29-4.13%),133 (56-180)
Kentucky,2010,1023533,10.62,914873.4477328422,10.51,13.33% (5.67-17.95%),1281 (545-1725)
Kentucky,2011,1021798,10.20,917602.4300029004,9.05,12.01% (5.08-16.21%),997 (422-1346)
Kentucky,2012,1018473,10.20,914616.4894551996,9.47,11.60% (4.91-15.66%),1005 (425-1357)
Kentucky,2013,1017072,10.20,913358.3533026192,8.37,12.74% (5.46-17.09%),974 (417-1306)
Kentucky,2014,1014601,10.79,905114.50752651,9.75,11.83% (5.05-15.87%),1043 (446-1400)
Kentucky,2015,1012672,10.20,909407.033480098,8.17,12.11% (5.21-16.20%),900 (387-1203)
Kentucky,2016,1011692,7.83,932511.5784938252,8.95,6.18% (2.73-8.13%),516 (228-679)
Kentucky,2017,1010420,10.20,907384.6761527528,8.00,5.85% (2.58-7.71%),425 (187-560)
Kentucky,2018,1007203,5.88,947981.6710807608,8.12,5.64% (2.49-7.41%),434 (192-570)
Kentucky,2019,1002871,10.20,900605.4685754314,6.19,6.10% (2.69-8.04%),340 (150-448)
Louisiana,2010,1117831,8.29,1025180.8767329236,10.51,14.47% (6.21-19.38%),1559 (669-2087)
Louisiana,2011,1116157,8.15,1025212.7383260924,9.05,14.85% (6.37-19.90%),1378 (591-1846)
Louisiana,2012,1113884,8.15,1023124.9419370402,9.47,14.16% (6.06-19.00%),1373 (587-1841)
Louisiana,2013,1112430,7.81,1025550.014466545,8.37,13.21% (5.62-17.78%),1134 (483-1526)
Louisiana,2014,1113756,8.01,1024571.1143338892,9.75,12.70% (5.41-17.09%),1269 (540-1706)
Louisiana,2015,1114969,8.72,1017721.1557553868,8.17,12.48% (5.31-16.80%),1038 (441-1397)
Louisiana,2016,1114121,8.15,1023342.6312217764,8.95,5.85% (2.51-7.82%),535 (230-717)
Louisiana,2017,1107332,8.15,1017106.7976602828,8.00,5.39% (2.30-7.23%),439 (187-589)
Louisiana,2018,1096754,8.15,1007390.6911035768,8.12,5.27% (2.25-7.08%),431 (184-579)
Louisiana,2019,1087630,8.15,999010.112901328,6.19,5.31% (2.27-7.13%),328 (140-441)
Maine,2010,273399,7.67,252424.50732608503,11.83,7.98% (3.36-10.81%),238 (100-323)
Maine,2011,269110,7.67,248464.5487603201,6.03,8.36% (3.52-11.33%),125 (53-170)
Maine,2012,265098,7.67,244760.33944209924,6.03,8.27% (3.48-11.21%),122 (51-165)
Maine,2013,262010,7.67,241909.24313734705,6.03,8.41% (3.52-11.44%),123 (51-167)
Maine,2014,259644,7.67,239724.75678467745,6.03,7.56% (3.15-10.31%),109 (46-149)
Maine,2015,256340,7.67,236674.2314637897,4.30,8.39% (3.51-11.40%),85 (36-116)
Maine,2016,254497,7.34,235808.0364014207,5.95,2.94% (1.23-4.00%),41 (17-56)
Maine,2017,252622,8.00,232412.2075380431,6.03,3.49% (1.47-4.72%),49 (21-66)
Maine,2018,250303,7.33,231945.79424948277,7.70,3.59% (1.51-4.86%),64 (27-87)
Maine,2019,248842,9.35,225573.46557383423,6.03,3.15% (1.32-4.27%),43 (18-58)
Maryland,2010,1352627,11.83,1192676.143186027,8.38,18.54% (8.04-24.65%),1852 (803-2463)
Maryland,2011,1349598,10.49,1208086.1950782896,4.35,17.63% (7.63-23.46%),926 (401-1233)
Maryland,2012,1347203,10.24,1209299.4640353492,6.59,17.34% (7.49-23.10%),1382 (597-1841)
Maryland,2013,1344085,10.73,1199801.8875942773,21.42,15.43% (6.62-20.67%),3967 (1701-5313)
Maryland,2014,1346664,9.63,1216986.2701158756,21.12,16.99% (7.35-22.62%),4366 (1889-5815)
Maryland,2015,1346113,10.49,1204966.6139957393,21.33,17.38% (7.53-23.14%),4468 (1935-5948)
Maryland,2016,1345550,10.49,1204462.6472383577,14.75,10.46% (4.64-13.72%),1858 (824-2437)
Maryland,2017,1343930,10.49,1203012.5119862105,14.75,9.52% (4.19-12.55%),1690 (744-2227)
Maryland,2018,1339438,10.49,1198991.519669764,14.75,9.12% (4.00-12.03%),1613 (708-2128)
Maryland,2019,1334687,10.49,1194738.6847420174,14.75,9.03% (3.96-11.91%),1590 (699-2098)
Massachusetts,2010,1417502,9.06,1289104.875457046,10.51,18.56% (8.09-24.62%),2514 (1095-3335)
Massachusetts,2011,1410035,8.88,1284774.435301555,9.05,22.62% (9.97-29.78%),2630 (1159-3462)
Massachusetts,2012,1403432,8.98,1277391.9809323316,9.47,19.29% (8.42-25.55%),2334 (1019-3091)
Massachusetts,2013,1398069,9.24,1268871.3203182942,8.37,18.66% (8.10-24.79%),1981 (860-2633)
Massachusetts,2014,1392767,9.17,1264993.188671789,9.75,18.17% (7.89-24.14%),2240 (973-2977)
Massachusetts,2015,1385700,8.41,1269160.4813526217,8.17,18.42% (7.99-24.49%),1910 (829-2539)
Massachusetts,2016,1378299,8.03,1267554.7554681432,8.95,9.18% (3.99-12.19%),1042 (453-1383)
Massachusetts,2017,1373273,7.71,1267355.4307829672,8.00,8.64% (3.74-11.50%),877 (380-1166)
Massachusetts,2018,1364785,7.35,1264514.822191059,8.12,13.24% (5.73-17.62%),1358 (588-1808)
Massachusetts,2019,1352800,7.32,1253778.4812318182,6.19,12.66% (5.46-16.89%),983 (424-1311)
Michigan,2010,2334175,11.17,2073436.383579588,15.69,16.14% (6.94-21.56%),5251 (2259-7015)
Michigan,2011,2301756,9.97,2072198.545097128,12.12,17.89% (7.86-23.61%),4493 (1974-5930)
Michigan,2012,2272804,9.42,2058596.413375892,7.38,17.48% (7.65-23.13%),2656 (1162-3515)
Michigan,2013,2249312,10.92,2003620.6973632467,10.18,17.22% (7.52-22.81%),3513 (1533-4654)
Michigan,2014,2230079,10.21,2002493.7167460269,11.46,16.05% (6.95-21.37%),3683 (1594-4904)
Michigan,2015,2209035,7.71,2038729.06323216,8.83,16.20% (7.06-21.50%),2917 (1270-3870)
Michigan,2016,2193921,8.85,1999650.72234454,10.47,6.33% (2.85-8.23%),1326 (597-1723)
Michigan,2017,2180747,8.75,1990016.0958257369,9.58,6.14% (2.75-7.99%),1170 (524-1523)
Michigan,2018,2162182,8.55,1977253.8386131905,9.58,5.84% (2.60-7.63%),1106 (493-1446)
Michigan,2019,2143933,7.77,1977383.494311295,5.70,6.19% (2.75-8.11%),697 (310-913)
Minnesota,2010,1283281,5.27,1215611.6711026833,5.76,14.27% (6.10-19.16%),1000 (427-1343)
Minnesota,2011,1280876,5.27,1213333.490354272,5.76,14.31% (6.11-19.20%),1001 (428-1343)
Minnesota,2012,1277502,5.27,1210137.406426979,5.76,14.66% (6.26-19.68%),1023 (437-1373)
Minnesota,2013,1278697,5.27,1211269.3922874162,5.76,15.21% (6.55-20.32%),1062 (457-1419)
Minnesota,2014,1282686,5.27,1215048.0463437208,4.58,15.83% (6.87-21.06%),880 (382-1171)
Minnesota,2015,1285301,6.28,1204629.787194933,6.33,14.48% (6.25-19.33%),1104 (476-1474)
Minnesota,2016,1292129,6.84,1203691.5886744154,6.85,7.23% (3.15-9.59%),597 (260-791)
Minnesota,2017,1299518,4.51,1240847.5126144183,6.87,7.62% (3.34-10.06%),649 (285-858)
Minnesota,2018,1302437,5.27,1233757.546535767,5.20,7.41% (3.23-9.82%),476 (207-630)
Minnesota,2019,1303157,5.11,1236625.4214472405,3.94,7.46% (3.26-9.86%),364 (159-481)
Mississippi,2010,753561,8.70,688036.6282540825,16.56,8.44% (3.53-11.50%),962 (402-1310)
Mississippi,2011,747654,8.84,681532.5772005352,9.73,9.30% (3.89-12.64%),617 (258-838)
Mississippi,2012,741797,9.85,668729.0505340502,8.00,8.24% (3.44-11.23%),441 (184-601)
Mississippi,2013,735536,11.68,649605.069022701,8.24,8.83% (3.69-12.02%),473 (197-643)
Mississippi,2014,731416,11.62,646393.8319720357,13.66,7.63% (3.18-10.41%),674 (281-919)
Mississippi,2015,726342,8.84,662105.379211495,9.73,8.14% (3.39-11.09%),525 (219-715)
Mississippi,2016,720957,6.51,673993.9968056575,9.73,1.30% (0.55-1.77%),85 (36-116)
Mississippi,2017,714501,11.36,633311.4202864569,9.73,1.38% (0.58-1.87%),85 (36-115)
Mississippi,2018,706663,6.49,660769.3080392429,9.73,1.39% (0.58-1.89%),89 (38-121)
Mississippi,2019,698583,7.64,645234.0374487918,9.73,1.40% (0.59-1.89%),88 (37-119)
Missouri,2010,1423978,10.91,1268618.8726398335,10.51,15.80% (6.82-21.06%),2106 (909-2807)
Missouri,2011,1414027,8.64,1291799.193852966,9.05,14.63% (6.29-19.56%),1710 (735-2287)
Missouri,2012,1404815,10.05,1263566.6010735112,9.47,15.12% (6.51-20.19%),1810 (779-2417)
Missouri,2013,1397707,7.66,1290633.9710041762,8.37,14.49% (6.22-19.38%),1565 (672-2093)
Missouri,2014,1393170,11.20,1237090.7810580586,9.75,13.94% (5.98-18.67%),1681 (721-2251)
Missouri,2015,1389727,8.64,1269599.6740343012,8.17,13.54% (5.83-18.09%),1405 (605-1877)
Missouri,2016,1386221,8.63,1266539.1754924569,8.95,7.55% (3.31-9.97%),856 (375-1131)
Missouri,2017,1382921,9.67,1249200.716584932,8.00,6.86% (2.98-9.10%),686 (298-910)
Missouri,2018,1376684,8.38,1261312.7818893446,8.12,6.53% (2.83-8.69%),669 (290-889)
Missouri,2019,1370585,6.94,1275421.5172563,6.19,6.22% (2.69-8.29%),491 (212-654)
Montana,2010,223389,6.89,208001.46475719076,5.78,11.01% (4.64-14.92%),132 (56-179)
Montana,2011,223103,6.75,208038.07915191603,8.01,11.47% (4.84-15.52%),191 (81-259)
Montana,2012,222868,7.65,205817.2160514825,22.65,10.18% (4.27-13.81%),474 (199-644)
Montana,2013,224371,8.20,205974.0652171044,22.63,10.05% (4.22-13.63%),468 (197-636)
Montana,2014,225473,7.11,209432.46997084533,22.26,8.86% (3.70-12.05%),413 (173-562)
Montana,2015,226514,6.33,212178.5083553952,22.26,8.12% (3.39-11.06%),383 (160-523)
Montana,2016,227821,5.79,214635.8863154926,22.26,0.39% (0.16-0.53%),18 (8-25)
Montana,2017,229200,8.57,209566.69390890904,22.26,0.52% (0.21-0.72%),24 (10-33)
Montana,2018,228749,5.32,216569.5756917573,22.26,0.37% (0.15-0.51%),18 (7-25)
Montana,2019,228588,6.69,213285.8109485524,22.26,0.36% (0.15-0.50%),17 (7-24)
Nebraska,2010,459739,6.08,431764.23169015103,8.62,13.54% (5.76-18.22%),504 (214-678)
Nebraska,2011,460842,6.20,432258.6632543698,9.78,14.35% (6.12-19.30%),607 (258-815)
Nebraska,2012,462481,6.92,430499.4543928123,11.04,15.48% (6.62-20.77%),736 (315-987)
Nebraska,2013,464550,6.56,434098.5800055511,8.61,13.64% (5.79-18.37%),509 (216-686)
Nebraska,2014,467363,6.14,438683.4293478931,9.36,12.92% (5.48-17.42%),530 (225-715)
Nebraska,2015,470580,6.61,439487.77171979,6.33,11.72% (4.95-15.85%),326 (138-441)
Nevada,2010,663320,8.57,606497.0519360182,10.51,24.46% (10.79-32.18%),1559 (688-2051)
